date,symbol,side,order_place_time,order_type,order_price,fill_time,entry_price,ref_low_24h,ref_high_24h,ref_mid_24h,stop,take_profit,exit_time,exit_price,exit_reason,pnl,equity_after
2024-12-30,XAUUSD,SHORT,2024-12-30 08:30:00+00:00,LIMIT,2621.1615,2024-12-30 12:50:00+00:00,2621.1615,2614.338,2627.985,2621.1615,2627.985,2600.6910000000003,2024-12-30 15:30:00+00:00,2600.6910000000003,TP,20.4704999999999,120.4704999999999
2024-12-31,XAUUSD,LONG,2024-12-31 08:30:00+00:00,LIMIT,2609.165,2024-12-31 12:05:00+00:00,2609.165,2595.905,2622.425,2609.165,2595.905,2648.9449999999993,2024-12-31 16:00:00+00:00,2623.814,FORCE_EXIT,14.648999999999887,135.1194999999998
2025-01-03,XAUUSD,LONG,2025-01-03 08:30:00+00:00,LIMIT,2648.085,2025-01-03 13:20:00+00:00,2648.085,2630.985,2665.185,2648.085,2630.985,2699.3849999999998,2025-01-03 16:00:00+00:00,2646.548,FORCE_EXIT,-1.537000000000262,133.58249999999953
2025-01-06,XAUUSD,SHORT,2025-01-06 08:30:00+00:00,LIMIT,2636.1549999999997,2025-01-06 11:10:00+00:00,2636.1549999999997,2625.035,2647.275,2636.1549999999997,2647.275,2602.7949999999987,2025-01-06 11:30:00+00:00,2647.275,STOP,-11.120000000000346,122.46249999999918
2025-01-07,XAUUSD,SHORT,2025-01-07 08:30:00+00:00,MARKET,2643.865,2025-01-07 08:30:00+00:00,2643.865,2614.365,2649.305,2631.835,2649.305,2627.5449999999996,2025-01-07 12:05:00+00:00,2649.305,STOP,-5.440000000000055,117.02249999999913
2025-01-08,XAUUSD,SHORT,2025-01-08 08:30:00+00:00,LIMIT,2652.0615,2025-01-08 08:30:00+00:00,2652.0615,2640.025,2664.098,2652.0615,2664.098,2615.9519999999993,2025-01-08 14:10:00+00:00,2664.098,STOP,-12.03650000000016,104.98599999999897
2025-01-10,XAUUSD,LONG,2025-01-10 08:30:00+00:00,LIMIT,2670.7245000000003,2025-01-10 13:30:00+00:00,2670.7245000000003,2661.094,2680.355,2670.7245000000003,2661.094,2699.616000000001,2025-01-10 16:00:00+00:00,2688.688,FORCE_EXIT,17.96349999999984,122.9494999999988
2025-01-13,XAUUSD,LONG,2025-01-13 08:30:00+00:00,LIMIT,2686.1949999999997,2025-01-13 08:30:00+00:00,2686.1949999999997,2679.145,2693.245,2686.1949999999997,2679.145,2707.344999999999,2025-01-13 10:00:00+00:00,2679.145,STOP,-7.049999999999727,115.89949999999908
2025-01-14,XAUUSD,LONG,2025-01-14 08:30:00+00:00,MARKET,2672.935,2025-01-14 08:30:00+00:00,2672.935,2656.615,2689.459,2673.037,2656.615,2721.8950000000004,2025-01-14 16:00:00+00:00,2671.475,FORCE_EXIT,-1.4600000000000364,114.43949999999904
2025-01-15,XAUUSD,SHORT,2025-01-15 08:30:00+00:00,MARKET,2683.365,2025-01-15 08:30:00+00:00,2683.365,2659.645,2685.225,2672.435,2685.225,2677.7849999999994,2025-01-15 09:05:00+00:00,2685.225,STOP,-1.8600000000001273,112.57949999999892
2025-01-17,XAUUSD,LONG,2025-01-17 08:30:00+00:00,MARKET,2710.665,2025-01-17 08:30:00+00:00,2710.665,2697.299,2724.565,2710.932,2697.299,2750.763,2025-01-17 16:00:00+00:00,2715.525,FORCE_EXIT,4.860000000000127,117.43949999999904
2025-01-20,XAUUSD,SHORT,2025-01-20 08:30:00+00:00,MARKET,2703.785,2025-01-20 08:30:00+00:00,2703.785,2689.308,2713.655,2701.4815,2713.655,2674.174999999999,2025-01-20 16:00:00+00:00,2707.275,FORCE_EXIT,-3.4900000000002365,113.9494999999988
2025-01-21,XAUUSD,SHORT,2025-01-21 08:30:00+00:00,MARKET,2724.935,2025-01-21 08:30:00+00:00,2724.935,2701.498,2732.725,2717.1115,2732.725,2701.565,2025-01-21 14:40:00+00:00,2732.725,STOP,-7.789999999999964,106.15949999999884
2025-01-24,XAUUSD,SHORT,2025-01-24 08:30:00+00:00,MARKET,2771.985,2025-01-24 08:30:00+00:00,2771.985,2735.665,2778.115,2756.89,2778.115,2753.595000000001,2025-01-24 11:30:00+00:00,2778.115,STOP,-6.129999999999654,100.02949999999919
2025-01-27,XAUUSD,LONG,2025-01-27 08:30:00+00:00,MARKET,2756.155,2025-01-27 08:30:00+00:00,2756.155,2747.065,2772.415,2759.74,2747.065,2783.4250000000006,2025-01-27 14:30:00+00:00,2747.065,STOP,-9.090000000000146,90.93949999999904
2025-01-28,XAUUSD,SHORT,2025-01-28 08:30:00+00:00,LIMIT,2751.192,2025-01-28 14:15:00+00:00,2751.192,2730.529,2771.855,2751.192,2771.855,2689.203,2025-01-28 16:00:00+00:00,2757.655,FORCE_EXIT,-6.463000000000193,84.47649999999885
2025-01-29,XAUUSD,SHORT,2025-01-29 08:30:00+00:00,MARKET,2764.345,2025-01-29 08:30:00+00:00,2764.345,2734.738,2765.985,2750.3615,2765.985,2759.424999999999,2025-01-29 10:20:00+00:00,2759.424999999999,TP,4.920000000000982,89.39649999999983
