date,equity
2024-12-30,116.59000000000015
2024-12-31,131.23900000000003
2025-01-03,128.92700000000013
2025-01-06,117.80699999999979
2025-01-07,110.92700000000013
2025-01-08,98.89049999999997
2025-01-10,116.36699999999973
2025-01-13,109.31700000000001
2025-01-14,110.03699999999981
2025-01-15,108.61699999999973
2025-01-17,113.20049999999992
2025-01-20,112.70049999999992
2025-01-21,103.11050000000023
2025-01-24,98.97050000000036
2025-01-27,88.98050000000057
2025-01-28,82.51750000000038
2025-01-29,88.63750000000027
2025-02-03,82.07450000000017
2025-02-06,74.63149999999996
2025-02-07,70.40149999999994
2025-02-10,67.96749999999975
2025-02-12,71.42749999999978
2025-02-13,62.66749999999956
2025-02-14,59.20749999999953
2025-02-18,55.82749999999987
2025-02-19,54.25749999999971
2025-02-20,53.94749999999976
2025-02-21,60.05749999999989
2025-02-24,67.79749999999967
2025-02-25,107.80249999999978
2025-02-26,108.01099999999951
2025-02-27,107.05099999999993
2025-02-28,101.99400000000014
2025-03-03,124.29900000000043
2025-03-05,110.35900000000038
2025-03-06,99.92900000000054
2025-03-07,99.2790000000009
2025-03-10,99.01900000000114
2025-03-12,91.31400000000122
2025-03-14,90.27400000000125
2025-03-17,84.6540000000009
2025-03-18,83.89700000000084
2025-03-19,93.3740000000007
2025-03-20,93.94400000000041
2025-03-21,82.62400000000025
2025-03-24,74.95400000000018
2025-03-25,62.873999999999796
2025-03-26,70.54549999999972
2025-03-27,67.96549999999979
2025-03-28,54.83550000000014
2025-03-31,65.26649999999972
2025-04-01,61.52949999999964
2025-04-02,69.06249999999955
2025-04-03,44.2824999999998
2025-04-04,5.582499999999527
2025-04-07,-7.025000000000091
2025-04-08,-2.3650000000002365
2025-04-09,-13.909000000000106
2025-04-10,-37.91899999999987
2025-04-14,-19.448999999999614
2025-04-15,-13.768999999999778
2025-04-16,-14.15899999999965
2025-04-17,-48.848999999999705
2025-04-22,-62.05899999999929
2025-04-24,-53.00399999999945
2025-04-28,-75.0689999999995
2025-04-29,-74.51399999999921
2025-04-30,-81.99399999999923
2025-05-02,-86.35399999999936
2025-05-07,-88.26399999999967
2025-05-08,-74.2489999999998
2025-05-09,-85.8789999999999
2025-05-12,-92.64899999999989
2025-05-13,-83.93399999999974
2025-05-14,-99.33899999999994
2025-05-15,-123.64400000000023
2025-05-16,-91.37000000000035
2025-05-19,-91.76000000000022
2025-05-20,-113.80000000000018
2025-05-22,-79.09000000000015
2025-05-23,-84.2770000000005
2025-05-27,-72.9280000000008
2025-05-28,-76.24800000000096
2025-05-29,-47.091000000000804
2025-05-30,-65.85400000000072
